binPid,n_hits,mlAnalyzed,lon,lat,conc_per_ml
D20241001T151746_IFCB127,18,2.296,-70.5667,41.325,7.839721254355402
D20241001T154018_IFCB125,4,4.203,-69.957882,43.792114,0.951701165833928
D20241001T193035_IFCB127,14,1.999,-70.5667,41.325,7.003501750875437
D20241001T203347_IFCB127,18,2.053,-70.5667,41.325,8.767657087189479
D20241001T214620_IFCB145,6,3.242,-68.291361833,44.435864167,1.8507094386181369
D20241002T054344_IFCB125,15,4.001,-69.957882,43.792114,3.7490627343164205
D20241002T062844_IFCB127,12,2.129,-70.5667,41.325,5.6364490371066225
D20241002T071846_IFCB125,6,3.982,-69.957882,43.792114,1.5067805123053741
D20241002T161834_IFCB127,7,2.292,-70.5667,41.325,3.054101221640489
D20241002T193316_IFCB127,19,2.05,-70.5667,41.325,9.26829268292683
D20241002T211837_IFCB127,24,1.93,-70.5667,41.325,12.435233160621761
D20241002T221425_IFCB145,2,3.276,-68.291392667,44.435924333,0.6105006105006106
D20241003T055722_IFCB125,13,3.705,-69.957882,43.792114,3.508771929824561
D20241003T144013_IFCB125,5,3.672,-69.957882,43.792114,1.3616557734204793
D20241003T190225_IFCB145,1,2.961,-68.291024167,44.435872167,0.33772374197906113
D20241004T104156_IFCB127,26,2.064,-70.5667,41.325,12.5968992248062
D20241004T143709_IFCB145,2,3.35,-68.291452333,44.435726333,0.5970149253731343
D20241005T004942_IFCB127,8,2.414,-70.5667,41.325,3.314001657000828
D20241005T100752_IFCB193,1,4.659,-62.192947,42.1011935,0.21463833440652502
D20241005T134349_IFCB125,5,3.577,-69.957882,43.792114,1.397819401733296
D20241005T141011_IFCB127,26,2.36,-70.5667,41.325,11.016949152542374
D20241005T205141_IFCB125,26,3.073,-69.957882,43.792114,8.460787504067687
D20241006T002355_IFCB193,2,3.033,-65.496730167,42.1333505,0.6594131223211342
D20241006T002613_IFCB127,18,2.381,-70.5667,41.325,7.55984880302394
D20241006T033327_IFCB193,1,4.435,-65.508720333,42.001493833,0.22547914317925594
D20241006T082102_IFCB125,7,3.339,-69.957882,43.792114,2.0964360587002098
D20241006T084233_IFCB193,1,4.509,-65.350744333,41.866537833,0.22177866489243733
D20241006T093358_IFCB127,13,2.052,-70.5667,41.325,6.3352826510721245
